question,topic,intent,difficulty,answer
Tell me about regression,Machine Learning,regression,Beginner,"Predicting continuous numerical values. Examples: house price, temperature, stock price. Output is a number."
Tell me about time series forecasting,Machine Learning,time series forecasting,Advanced,"Predicting future values based on temporal data. Methods: ARIMA, exponential smoothing, LSTM networks. Considers trends, seasonality, autocorrelation."
Tell me about code smell,Software Engineering,code smell,Intermediate,"Symptom indicating potential problem in code. Examples: long methods, duplicate code, large classes. Suggest refactoring needed."
Help me understand segment tree,Data Structures,segment tree,Advanced,Tree for range queries. Each node represents an interval. Allows O(log n) query and update. Used for range sum/min/max queries.
Explain transfer learning,Deep Learning,transfer learning,Intermediate,"Using pre-trained model as starting point. Freeze early layers (general features), fine-tune later layers (task-specific). Effective with limited data."
What is validation data?,Machine Learning,validation data,Beginner,Dataset used during training to tune hyperparameters and prevent overfitting. Separate from training and test sets.
Explain image augmentation,Computer Vision,image augmentation,Intermediate,"Artificially creating training images via transformations. Techniques: rotation, flipping, cropping, color shifts. Improves generalization."
Describe coroutine,Python Programming,coroutine,Advanced,A function defined with 'async def' that can pause execution with 'await'. Used in asynchronous programming.
Tell me about learning rate,Deep Learning,learning rate,Beginner,Controls how much weights change per update. Too high: unstable training. Too low: slow convergence. Critical hyperparameter.
Could you explain slots to me?,Python Programming,slots,Advanced,Using __slots__ to declare fixed set of attributes. Saves memory and improves attribute access speed.
Explain how model works,Machine Learning,model,Beginner,"A mathematical representation that makes predictions. Learned from training data. Can be linear regression, neural network, decision tree, etc."
Explain gradient descent,Machine Learning,gradient descent,Intermediate,"Optimization algorithm that iteratively moves toward minimum loss. Updates parameters in direction of negative gradient. Variants: batch, stochastic, mini-batch."
How would you explain AutoML?,Machine Learning,AutoML,Advanced,"Automated Machine Learning automates model selection, hyperparameter tuning, and feature engineering. Tools: Auto-sklearn, TPOT, H2O AutoML."
Could you explain GRU to me?,Deep Learning,GRU,Intermediate,"Gated Recurrent Unit is simplified LSTM with fewer parameters. Two gates: reset and update. Faster training, similar performance to LSTM."
Help me understand enumerate,Python Basics,enumerate,Beginner,"Returns index and value when iterating. for i, item in enumerate(my_list). Start index can be specified: enumerate(my_list, start=1)."
Explain primary key,Database Systems,primary key,Intermediate,Unique identifier for table rows. Cannot be null. Ensures row uniqueness. Used in joins. Can be single column or composite.
Explain logging,DevOps,logging,Intermediate,"Recording system events. Helps debugging and auditing. Centralized log management. Tools: ELK Stack (Elasticsearch, Logstash, Kibana), Splunk."
Help me understand descriptor,Python Programming,descriptor,Advanced,"An object that defines __get__, __set__, or __delete__ methods. Controls attribute access. Used to implement properties and methods."
Tell me about IAM,Cloud Computing,IAM,Intermediate,"Identity and Access Management controls who can access resources. Users, groups, roles, policies. Principle of least privilege."
end-to-end testing definition,Software Testing,end-to-end testing,Intermediate,"Testing complete workflow from start to finish. Simulates real user scenarios. Tools: Selenium, Cypress, Playwright."
relational database definition,Database Systems,relational database,Intermediate,"Stores data in tables with rows and columns. Tables related via foreign keys. Examples: MySQL, PostgreSQL, Oracle. Uses SQL."
Explain SMOTE,Machine Learning,SMOTE,Advanced,Synthetic Minority Over-sampling Technique creates synthetic examples by interpolating between minority class instances. Addresses class imbalance.
Define suffix array,Data Structures,suffix array,Advanced,Sorted array of all suffixes of a string. More space-efficient than suffix tree. Used in pattern matching.
Explain HTML,Web Development,HTML,Intermediate,"HyperText Markup Language structures web content. Uses tags to define elements: headings, paragraphs, links, images. Foundation of web pages."
gradient descent definition,Machine Learning,gradient descent,Intermediate,"Optimization algorithm that iteratively moves toward minimum loss. Updates parameters in direction of negative gradient. Variants: batch, stochastic, mini-batch."
I want to learn about doubly linked list,Data Structures,doubly linked list,Beginner,Each node has pointers to both next and previous nodes. Allows bidirectional traversal. More memory than singly linked.
Explain bubble sort to me,Algorithms,bubble sort,Intermediate,Simple sorting that repeatedly swaps adjacent elements if out of order. O(n²) time. Rarely used in practice.
Help me understand training data,Machine Learning,training data,Beginner,Dataset used to teach the model. Contains features (inputs) and labels (outputs for supervised learning). Quality impacts model performance.
What does monkey patching mean?,Python Programming,monkey patching,Advanced,Dynamically modifying a class or module at runtime. Powerful but can make code hard to maintain and debug.
Tell me about segment tree,Data Structures,segment tree,Advanced,Tree for range queries. Each node represents an interval. Allows O(log n) query and update. Used for range sum/min/max queries.
I want to learn about slots,Python Programming,slots,Advanced,Using __slots__ to declare fixed set of attributes. Saves memory and improves attribute access speed.
pooling definition,Deep Learning,pooling,Intermediate,Reduces spatial dimensions in CNNs. Max pooling takes maximum value in region. Average pooling computes average. Provides translation invariance.
Explain fine-tuning,Deep Learning,fine-tuning,Advanced,Training pre-trained model on specific task. Adjusts weights for target domain. Transfer learning technique. Much faster than training from scratch.
How would you explain heap?,Data Structures,heap,Intermediate,Complete binary tree satisfying heap property. Max heap: parent ≥ children. Min heap: parent ≤ children. Used in priority queues.
Can you explain Lambda?,Cloud Computing,Lambda,Intermediate,AWS serverless compute. Run code without managing servers. Pay per request. Auto-scales. Good for event-driven applications.
Tell me about bagging,Machine Learning,bagging,Intermediate,Bootstrap Aggregating trains models on random samples with replacement and averages predictions. Reduces variance. Random Forest uses bagging.
lemmatization definition,Natural Language Processing,lemmatization,Intermediate,Reducing words to dictionary form using vocabulary and morphological analysis. More accurate than stemming. Example: better → good.
Explain encryption,Cybersecurity,encryption,Intermediate,"Converting plaintext to ciphertext. Protects confidentiality. Symmetric (same key) and asymmetric (public/private keys). AES, RSA common."
Tell me about REST,API Design,REST,Intermediate,"Representational State Transfer. Architectural style for web services. Stateless, cacheable. Uses HTTP methods. Returns JSON/XML."
Help me understand batch,Deep Learning,batch,Beginner,Subset of training data processed together. Full batch uses all data. Mini-batch uses small subset. Batch size affects speed and convergence.
Explain function,Python Basics,function,Beginner,A reusable block of code defined with the 'def' keyword. Can accept parameters and return values. Helps organize code and avoid repetition.
I want to learn about monitoring,DevOps,monitoring,Intermediate,"Observing system health and performance. Metrics, logs, traces. Alerts on issues. Tools: Prometheus, Grafana, DataDog, New Relic."
Help me understand RNN,Deep Learning,RNN,Intermediate,"Recurrent Neural Network processes sequences by maintaining hidden state. Suitable for time series, text, speech. Challenges: vanishing/exploding gradients."
Tell me about abstract class,Python Programming,abstract class,Intermediate,A class that cannot be instantiated and requires subclasses to implement specific methods. Use abc module.
Tell me about arithmetic operators,Python Basics,arithmetic operators,Beginner,"Math operations: + (add), - (subtract), * (multiply), / (divide), // (floor division), % (modulus), ** (exponent)."
Explain activation function,Deep Learning,activation function,Beginner,"Introduces non-linearity. Common: ReLU (most popular), sigmoid (0 to 1), tanh (-1 to 1), softmax (multi-class). Enables learning complex patterns."
How does suffix tree work?,Data Structures,suffix tree,Advanced,Compressed trie of all suffixes. Allows O(m) pattern matching where m is pattern length. Large space requirement.
What exactly is heap sort?,Algorithms,heap sort,Intermediate,"Uses heap data structure to sort. Build max heap, repeatedly extract maximum. O(n log n) time. Not stable."
Help me understand backpropagation,Deep Learning,backpropagation,Beginner,Algorithm for computing gradients of loss with respect to weights. Uses chain rule backwards through network. Enables gradient descent training.
What is minification?,Performance Optimization,minification,Advanced,"Removing unnecessary characters from code. Used for JavaScript, CSS. Reduces file size. Improves load times."
selection sort definition,Algorithms,selection sort,Intermediate,"Finds minimum element and swaps with first position, then repeats for remaining elements. O(n²) time. Good for small arrays."
What's the purpose of API?,API Design,API,Intermediate,Application Programming Interface. Defines interactions between software. Contract for communication. Abstracts implementation details.
How can I use NoSQL?,Database Systems,NoSQL,Intermediate,"Non-relational databases for unstructured/semi-structured data. Types: document (MongoDB), key-value (Redis), column (Cassandra), graph (Neo4j)."
Explain containerization,DevOps,containerization,Intermediate,Packaging applications with dependencies. Consistent environments. Lightweight isolation. Docker is standard. Kubernetes orchestrates.
Tell me about SQL injection,Cybersecurity,SQL injection,Intermediate,"Attack inserting malicious SQL in input. Can read/modify database. Prevention: parameterized queries, input validation."
Why do we use list comprehension?,Python Basics,list comprehension,Beginner,A concise way to create lists. Syntax: [expression for item in iterable if condition]. More efficient and readable than traditional loops.
Show me how to use decision tree,Machine Learning,decision tree,Intermediate,"Tree structure where internal nodes test features, branches are outcomes, leaves are predictions. Easy to interpret. Prone to overfitting."
Help me understand profiling,Performance Optimization,profiling,Advanced,"Analyzing performance bottlenecks. Identifies slow code sections. Tools: Chrome DevTools, Python cProfile, Java VisualVM."
Help me understand cookies,Web Development,cookies,Intermediate,"Small data stored by browser. Used for session management, personalization, tracking. Set by server via HTTP headers."
Tell me about static method,Object-Oriented Programming,static method,Intermediate,"Belongs to class, not instances. Called on class, not object. Cannot access instance variables. Uses class name."
I want to learn about ensemble learning,Machine Learning,ensemble learning,Intermediate,"Combining multiple models to improve predictions. Methods: bagging (parallel, e.g., Random Forest), boosting (sequential, e.g., XGBoost), stacking (meta-learner)."
Can you explain DFS?,Algorithms,DFS,Intermediate,"Depth-First Search explores graph by going as deep as possible using stack/recursion. Used for cycle detection, topological sort. O(V+E) time."
Explain object,Object-Oriented Programming,object,Intermediate,Instance of a class. Has state (attribute values) and behavior (methods). Multiple objects from one class.
Help me understand array,Data Structures,array,Beginner,"A contiguous block of memory storing elements of the same type. Fixed size. O(1) access by index, O(n) search. Foundation for other data structures."
Help me understand gitignore,Git & Version Control,gitignore,Intermediate,".gitignore file specifies untracked files to ignore. Excludes build artifacts, secrets, dependencies. Patterns support wildcards."
Give me information on CDN,Cloud Computing,CDN,Intermediate,"Content Delivery Network distributes content globally. Caches content at edge locations. Reduces latency. Examples: CloudFront, Cloudflare."
I want to learn about adjacency list,Data Structures,adjacency list,Intermediate,Array of lists representing graph. Each vertex has a list of adjacent vertices. Space: O(V+E). Good for sparse graphs.
Help me understand doubly linked list,Data Structures,doubly linked list,Beginner,Each node has pointers to both next and previous nodes. Allows bidirectional traversal. More memory than singly linked.
I want to learn about if statement,Python Basics,if statement,Beginner,Conditional statement that executes code based on whether a condition is True or False. Syntax: if condition: # code block. Can include elif and else clauses.
Tell me about machine learning,Machine Learning,machine learning,Beginner,"A subset of AI where systems learn from data without explicit programming. Algorithms improve performance through experience. Three main types: supervised, unsupervised, reinforcement."
How can I use tuple?,Python Basics,tuple,Beginner,"A tuple is an ordered, immutable sequence. Created with parentheses (). Once created, elements cannot be changed. More memory-efficient than lists for fixed data."
Help me understand cloud computing,Cloud Computing,cloud computing,Intermediate,"Delivering computing services over internet. On-demand resources, pay-per-use. Services: compute, storage, databases, ML. Major providers: AWS, Azure, GCP."
selection sort definition,Algorithms,selection sort,Intermediate,"Finds minimum element and swaps with first position, then repeats for remaining elements. O(n²) time. Good for small arrays."
Show me how to use endpoint,API Design,endpoint,Intermediate,URL where API can be accessed. Represents resource or action. Example: /users/123 for user with ID 123.
Tell me about function,Python Basics,function,Beginner,A reusable block of code defined with the 'def' keyword. Can accept parameters and return values. Helps organize code and avoid repetition.
Why should I learn meta-learning?,Machine Learning,meta-learning,Advanced,Learning to learn. Model learns across multiple tasks to quickly adapt to new tasks with few examples. Also called few-shot learning.
Explain hyperparameter tuning,Machine Learning,hyperparameter tuning,Advanced,"Optimizing hyperparameters (not learned from data). Methods: grid search (exhaustive), random search, Bayesian optimization, genetic algorithms. Use cross-validation."
What does KNN mean?,Machine Learning,KNN,Intermediate,K-Nearest Neighbors classifies based on majority vote of k nearest training examples. No training phase. Simple but slow for large datasets.
Explain test data,Machine Learning,test data,Beginner,Separate dataset used to evaluate model after training. Never used during training. Provides unbiased performance estimate.
I want to learn about mocking,Software Testing,mocking,Intermediate,"Creating fake objects for testing. Isolates code under test. Frameworks: Mockito (Java), unittest.mock (Python), Jest (JavaScript)."
Help me understand gradient descent,Deep Learning,gradient descent,Beginner,Optimization algorithm that updates weights to minimize loss. Moves in direction of negative gradient. Learning rate controls step size.
Help me understand weak reference,Python Programming,weak reference,Advanced,A reference that doesn't increase the reference count. Allows objects to be garbage collected. Use weakref module.
Explain pull request,Git & Version Control,pull request,Intermediate,Proposal to merge code. Used in collaborative workflows. Enables code review before merging. GitHub/GitLab feature.
Provide details on Agile,Software Engineering,Agile,Intermediate,"Iterative development methodology. Short sprints, frequent releases, customer collaboration. Principles in Agile Manifesto. Examples: Scrum, Kanban, XP."
I want to learn about logistic regression,Machine Learning,logistic regression,Intermediate,Classification algorithm despite name. Uses sigmoid function to output probabilities. Linear decision boundary. Used for binary classification.
Why do we use smoke testing?,Software Testing,smoke testing,Intermediate,Quick check if major functions work. Build verification test. Shallow and broad. Determines if detailed testing should proceed.
What's the purpose of model deployment?,Machine Learning,model deployment,Advanced,"Putting trained model into production. Considerations: serving infrastructure, monitoring, versioning, A/B testing, retraining strategy."
What exactly is greedy algorithm?,Algorithms,greedy algorithm,Intermediate,"Makes locally optimal choice at each step. Doesn't always give global optimum. Examples: Dijkstra, Huffman coding."
Explain exception handling,Python Basics,exception handling,Beginner,Using try-except blocks to catch and handle errors gracefully. Prevents program crashes and allows for error recovery.
Help me understand list,Python Basics,list,Beginner,"A list is an ordered, mutable collection that can hold different data types. Created with square brackets []. Supports indexing, slicing, append, insert, remove operations."
Explain neural network,Deep Learning,neural network,Beginner,"Inspired by biological neurons. Consists of layers: input, hidden, output. Nodes connected by weighted edges. Learns through backpropagation."
Explain logging,DevOps,logging,Intermediate,"Recording system events. Helps debugging and auditing. Centralized log management. Tools: ELK Stack (Elasticsearch, Logstash, Kibana), Splunk."
Explain SQL injection,Cybersecurity,SQL injection,Intermediate,"Attack inserting malicious SQL in input. Can read/modify database. Prevention: parameterized queries, input validation."
Help me understand composition,Object-Oriented Programming,composition,Intermediate,Has-a relationship. Object contains other objects. More flexible than inheritance. Favored over inheritance in many designs.
Can you describe Scrum?,Software Engineering,Scrum,Intermediate,"Agile framework with defined roles and ceremonies. Roles: Product Owner, Scrum Master, Dev Team. Ceremonies: Sprint Planning, Daily Standup, Sprint Review, Retrospective."
Provide details on monitoring,DevOps,monitoring,Intermediate,"Observing system health and performance. Metrics, logs, traces. Alerts on issues. Tools: Prometheus, Grafana, DataDog, New Relic."
Tell me about Agile,Software Engineering,Agile,Intermediate,"Iterative development methodology. Short sprints, frequent releases, customer collaboration. Principles in Agile Manifesto. Examples: Scrum, Kanban, XP."
I want to learn about gradient descent,Deep Learning,gradient descent,Beginner,Optimization algorithm that updates weights to minimize loss. Moves in direction of negative gradient. Learning rate controls step size.
Help me understand GCP,Cloud Computing,GCP,Intermediate,"Google Cloud Platform. Strong in data analytics and ML. Services: Compute Engine, Cloud Storage, BigQuery, TensorFlow on GCP."
I want to learn about CSRF,Cybersecurity,CSRF,Intermediate,"Cross-Site Request Forgery tricks user into unwanted actions. Uses authenticated session. Prevention: CSRF tokens, same-site cookies."
Tell me about Agile,Software Engineering,Agile,Intermediate,"Iterative development methodology. Short sprints, frequent releases, customer collaboration. Principles in Agile Manifesto. Examples: Scrum, Kanban, XP."
Help me understand normalization,Database Systems,normalization,Intermediate,"Organizing database to reduce redundancy. Normal forms: 1NF (atomic values), 2NF (no partial dependencies), 3NF (no transitive dependencies)."
I need to understand doubly linked list,Data Structures,doubly linked list,Beginner,Each node has pointers to both next and previous nodes. Allows bidirectional traversal. More memory than singly linked.
